Date,Description,Merchant,Amount
07 Jul 2024,"CARD NO.4439********1246 NESTO HYPERMARKET LLC BRA AJMAN:AE 548315 05-07-2024 8.70,AED",NESTO HYPERMARKET LLC BRA ,8.70
07 Jul 2024,"CARD NO.4439********1246 AL AQSA GAR AND BLANKE SHARJAH:AE 510494 06-07-2024 85.00,AED",AL AQSA GAR AND BLANKE ,85.00
07 Jul 2024,"CARD NO.4439********1246 NESTO HYPERMARKET LLC BRA AJMAN:AE 211411 05-07-2024 31.55,AED",NESTO HYPERMARKET LLC BRA ,31.55
05 Jul 2024,"CARD NO.4439********1246 NESTO HYPERMARKET LLC BRA AJMAN:AE 271845 02-07-2024 31.39,AED",NESTO HYPERMARKET LLC BRA ,31.39
05 Jul 2024,"CARD NO.4439********1246 Talabat DUBAI:AE 083532 03-07-2024 139.63,AED",Talabat ,139.63
05 Jul 2024,"CARD NO.4439********1246 NESTO HYPERMARKET LLC BRA AJMAN:AE 632110 02-07-2024 50.98,AED",NESTO HYPERMARKET LLC BRA ,50.98
04 Jul 2024,"CARD NO.4439********1246 NESTO HYPERMARKET LLC BRA AJMAN:AE 601621 01-07-2024 17.25,AED",NESTO HYPERMARKET LLC BRA ,17.25
03 Jul 2024,"CARD NO.4439********1246 Talabat DUBAI:AE 689737 30-06-2024 66.04,AED",Talabat ,66.04
03 Jul 2024,"CARD NO.4439********1246 Amazon.ae Dubai:AE 500012 01-07-2024 175.25,AED",Amazon.ae ,175.25
02 Jul 2024,"CARD NO.4439********1246 UNION COOP DUBAI:AE 218933 01-07-2024 5.50,AED",UNION COOP ,5.50
02 Jul 2024,"CARD NO.4439********1246 Swarovski Dubai:AE 179179 01-07-2024 581.00,AED",Swarovski ,581.00
02 Jul 2024,"CARD NO.4439********1246 BREW CAFE Dubai:AE 596902 01-07-2024 35.00,AED",BREW CAFE ,35.00
02 Jul 2024,"CARD NO.4439********1246 UNION COOP DUBAI:AE 088603 01-07-2024 14.25,AED",UNION COOP ,14.25
01 Jul 2024,"CARD NO.4439********1246 Etisalat Digital App Abu Dhabi:AE 186594 30-06-2024 10.00,AED",Etisalat Digital App ,10.00
